adr_id,compound_id,source
C0020452,CHEMBL535,SIDER
C0020456,CHEMBL535,SIDER
C0020461,CHEMBL535,SIDER
C0020538,CHEMBL535,SIDER
C0020557,CHEMBL535,SIDER
C0853692,CHEMBL535,SIDER
C0020564,CHEMBL535,SIDER
C0020580,CHEMBL535,SIDER
C0020615,CHEMBL535,SIDER
C0020621,CHEMBL535,SIDER
C0020649,CHEMBL535,SIDER
C0020672,CHEMBL535,SIDER
C0413252,CHEMBL535,SIDER
C0021400,CHEMBL535,SIDER
C0023218,CHEMBL535,SIDER
C0037763,CHEMBL535,SIDER
C0023222,CHEMBL535,SIDER
C0030196,CHEMBL535,SIDER
C0023380,CHEMBL535,SIDER
C0026961,CHEMBL535,SIDER
C0027051,CHEMBL535,SIDER
C0948089,CHEMBL535,SIDER
C0027424,CHEMBL535,SIDER
C0027497,CHEMBL535,SIDER
C0028259,CHEMBL535,SIDER
C0028643,CHEMBL535,SIDER
C0278134,CHEMBL535,SIDER
C0030193,CHEMBL535,SIDER
C0030794,CHEMBL535,SIDER
C0030846,CHEMBL535,SIDER
C0030848,CHEMBL535,SIDER
C0031154,CHEMBL535,SIDER
C0031350,CHEMBL535,SIDER
C0031538,CHEMBL535,SIDER
C0345326,CHEMBL535,SIDER
C0032319,CHEMBL535,SIDER
C0032326,CHEMBL535,SIDER
C0033036,CHEMBL535,SIDER
C0033117,CHEMBL535,SIDER
C0033575,CHEMBL535,SIDER
C0033581,CHEMBL535,SIDER
C0033774,CHEMBL535,SIDER
C0035078,CHEMBL535,SIDER
C0035455,CHEMBL535,SIDER
C0036572,CHEMBL535,SIDER
C0036679,CHEMBL535,SIDER
C1619718,CHEMBL535,SIDER
C0036974,CHEMBL535,SIDER
C0037199,CHEMBL535,SIDER
C0037274,CHEMBL535,SIDER
C0037286,CHEMBL535,SIDER
C0037859,CHEMBL535,SIDER
C0038999,CHEMBL535,SIDER
C0039070,CHEMBL535,SIDER
C0041657,CHEMBL535,SIDER
C0039231,CHEMBL535,SIDER
C0039240,CHEMBL535,SIDER
C0039242,CHEMBL535,SIDER
C0039584,CHEMBL535,SIDER
C0039591,CHEMBL535,SIDER
C0040034,CHEMBL535,SIDER
C0041834,CHEMBL535,SIDER
C0041912,CHEMBL535,SIDER
C0041969,CHEMBL535,SIDER
C0042023,CHEMBL535,SIDER
C0042029,CHEMBL535,SIDER
C0042401,CHEMBL535,SIDER
C1142412,CHEMBL535,SIDER
C0042510,CHEMBL535,SIDER
C0043144,CHEMBL535,SIDER
C0043246,CHEMBL535,SIDER
